strategy,day,critical,deceased,reward,economic_index
Holon_DESCENDING_0.35,51,53,6,49802288.52656990,891855990.0
Holon_DESCENDING_0.35,52,53,6,-24280581.133221600,916133514.0
Holon_DESCENDING_0.35,53,53,6,47348504.71606830,939809442.0
Holon_DESCENDING_0.35,54,53,6,46207505.821582500,962915010.0
Holon_DESCENDING_0.35,55,53,6,89802602.11000540,985366648.0
Holon_DESCENDING_0.35,56,53,6,43444134.26526560,1007090868.0
Holon_DESCENDING_0.35,57,53,6,41873506.316954800,1028029966.0
Holon_DESCENDING_0.35,58,54,6,80084310.26573670,1048052328.0
Holon_DESCENDING_0.35,59,55,6,38076634.6314578,1067093454.0
Holon_DESCENDING_0.35,60,56,6,36150187.82972980,1085171592.0
Holon_DESCENDING_0.35,61,60,6,34167815.91300210,1102258786.0
Holon_DESCENDING_0.35,62,66,6,32120936.606223500,1118322790.0
Holon_DESCENDING_0.35,63,74,6,-15123399.76443320,1133438656.0
Holon_DESCENDING_0.35,64,92,6,28239196.192410400,1147562262.0
Holon_DESCENDING_0.35,65,114,6,26400890.683896400,1160766938.0
Holon_DESCENDING_0.35,66,135,6,24617586.424208700,1173080178.0
Holon_DESCENDING_0.35,67,173,6,22911115.978245200,1184540388.0
Holon_DESCENDING_0.35,68,208,7,21384553.42738310,1195237500.0
Holon_DESCENDING_0.35,69,238,7,20096387.752795600,1205290684.0
Holon_DESCENDING_0.35,70,279,10,19120545.43733970,1214856062.0
Holon_DESCENDING_0.35,71,321,13,36518913.88718960,1223988394.0
Holon_DESCENDING_0.35,72,379,15,35343725.13127310,1232826962.0
Holon_DESCENDING_0.35,73,422,21,34826319.46683510,1241536192.0
Holon_DESCENDING_0.35,74,476,25,34981781.31015100,1250284280.0
Holon_DESCENDING_0.35,75,534,35,35642507.657853700,1259197526.0
Holon_DESCENDING_0.35,76,601,44,36731967.937647500,1268383100.0
Holon_DESCENDING_0.35,77,661,53,38501685.85162390,1278011046.0
Holon_DESCENDING_0.35,78,719,72,40800135.61565020,1288213530.0
Holon_DESCENDING_0.35,79,776,89,65088276.0407475,1299063154.0
Holon_DESCENDING_0.35,80,859,105,69366201.00048710,1310625704.0
Holon_DESCENDING_0.35,81,859,105,65838861.40727700,1321600412.0
Holon_DESCENDING_0.35,82,859,105,62573262.95865830,1332030898.0
Holon_DESCENDING_0.35,83,859,105,59724290.50197800,1341986594.0
Holon_DESCENDING_0.35,84,859,105,57133123.18988910,1351510464.0
Holon_DESCENDING_0.35,85,859,105,54783307.282647000,1360642730.0
Holon_DESCENDING_0.35,86,859,105,52450929.1151497,1369386298.0
Holon_DESCENDING_0.35,87,859,105,50460854.649743900,1377798214.0
Holon_DESCENDING_0.35,88,859,105,48810131.88642950,1385935032.0
Holon_DESCENDING_0.35,89,859,105,47466862.14867590,1393847990.0
Holon_DESCENDING_0.35,90,860,105,46590622.6853096,1401614920.0
Holon_DESCENDING_0.35,91,870,105,46214393.778779400,1409319150.0
Holon_DESCENDING_0.35,92,886,105,46324733.55551390,1417041768.0
Holon_DESCENDING_0.35,93,908,105,46710208.8857175,1424828626.0
Holon_DESCENDING_0.35,94,923,105,47292978.93683920,1432712604.0
Holon_DESCENDING_0.35,95,951,105,48017050.90592000,1440717250.0
Holon_DESCENDING_0.35,96,979,105,48958808.67392900,1448878842.0
Holon_DESCENDING_0.35,97,1028,105,49959423.006835900,1457207188.0
Holon_DESCENDING_0.35,98,1072,106,50990459.34714070,1465707358.0
Holon_DESCENDING_0.35,99,1121,108,52016684.62423120,1474378550.0
Holon_DESCENDING_0.35,100,1160,113,53038288.69688290,1483219994.0
Holon_DESCENDING_0.35,101,1198,118,54075253.840146900,1492234250.0
Holon_DESCENDING_0.35,102,1239,124,55004295.08764570,1501403332.0
Holon_DESCENDING_0.35,103,1286,130,55833933.242338400,1510710674.0
Holon_DESCENDING_0.35,104,1324,141,56601130.44544960,1520145870.0
Holon_DESCENDING_0.35,105,1337,159,57319805.894020100,1529700834.0
Holon_DESCENDING_0.35,106,1368,170,57915687.974733600,1539355102.0
Holon_DESCENDING_0.35,107,1386,187,58597364.88060000,1549122972.0
Holon_DESCENDING_0.35,108,1393,208,59147702.27738490,1558982556.0
Holon_DESCENDING_0.35,109,1371,237,59733956.34330250,1568939840.0
Holon_DESCENDING_0.35,110,1375,256,60154502.09717950,1578967208.0
Holon_DESCENDING_0.35,111,1375,256,59876967.34666960,1588948324.0
Holon_DESCENDING_0.35,112,1375,256,59608313.399118900,1598884668.0
Holon_DESCENDING_0.35,113,1375,256,59328150.51478250,1608774322.0
Holon_DESCENDING_0.35,114,1375,256,59067057.102537900,1618620464.0
Holon_DESCENDING_0.35,115,1375,256,58802351.556466800,1628422492.0
Holon_DESCENDING_0.35,116,1375,256,58573156.82075280,1638186324.0
Holon_DESCENDING_0.35,117,1375,256,58373880.36008970,1647916946.0
