strategy,day,critical,deceased,reward,economic_index
Bene-Beraq_ASCENDING_0.75,64,21,2,27174227.523125400,1120820717.2900000
Bene-Beraq_ASCENDING_0.75,65,29,2,25801283.558628800,1133725248.6100000
Bene-Beraq_ASCENDING_0.75,66,33,2,24424891.014714200,1145941760.2500000
Bene-Beraq_ASCENDING_0.75,67,39,2,23278128.358231200,1157585038.1600000
Bene-Beraq_ASCENDING_0.75,68,43,3,22333550.249854600,1168756148.2500000
Bene-Beraq_ASCENDING_0.75,69,46,3,21490963.84839500,1179506073.3600000
Bene-Beraq_ASCENDING_0.75,70,51,3,41657088.261444000,1189922609.43
Bene-Beraq_ASCENDING_0.75,71,65,3,40779675.49901450,1200119819.55
Bene-Beraq_ASCENDING_0.75,72,73,3,40591090.91773230,1210269889.02
Bene-Beraq_ASCENDING_0.75,73,79,4,40790425.98572050,1220469784.84
Bene-Beraq_ASCENDING_0.75,74,90,4,41255923.0313132,1230786038.84
Bene-Beraq_ASCENDING_0.75,75,99,5,42310244.006876500,1241365838.4600000
Bene-Beraq_ASCENDING_0.75,76,102,9,43962503.10202660,1252358648.4400000
Bene-Beraq_ASCENDING_0.75,77,114,14,68639796.63505950,1263800030.9900000
Bene-Beraq_ASCENDING_0.75,78,118,16,72104651.12455810,1275818839.0100000
Bene-Beraq_ASCENDING_0.75,79,119,20,75888354.72039160,1288468209.5900000
Bene-Beraq_ASCENDING_0.75,80,118,23,79986258.30770560,1301800504.9900000
Bene-Beraq_ASCENDING_0.75,81,116,23,72185339.19540500,1313832673.7260000
Bene-Beraq_ASCENDING_0.75,82,116,23,70473379.47214540,1325579536.6540000
Bene-Beraq_ASCENDING_0.75,83,113,23,68883990.72011820,1337061520.6060000
Bene-Beraq_ASCENDING_0.75,84,111,23,67409652.58050610,1348297799.3580000
Bene-Beraq_ASCENDING_0.75,85,111,23,65963107.0488197,1359293004.3820000
Bene-Beraq_ASCENDING_0.75,86,111,23,64766428.50870650,1370088776.5580000
Bene-Beraq_ASCENDING_0.75,87,111,23,63653560.55133650,1380699083.3500000
Bene-Beraq_ASCENDING_0.75,88,111,23,62701205.58339720,1391150674.5180000
Bene-Beraq_ASCENDING_0.75,89,111,23,62118100.964554400,1401505086.5500000
Bene-Beraq_ASCENDING_0.75,90,110,23,61661355.908944100,1411783377.7100000
Bene-Beraq_ASCENDING_0.75,91,110,23,61441625.78776150,1422025046.8460000
Bene-Beraq_ASCENDING_0.75,92,111,23,61398178.25602810,1432259472.1420000
Bene-Beraq_ASCENDING_0.75,93,110,23,61623375.48497620,1442531423.8140000
Bene-Beraq_ASCENDING_0.75,94,115,23,62120540.20825940,1452886225.3500000
Bene-Beraq_ASCENDING_0.75,95,117,23,62625854.309852000,1463325235.1820000
Bene-Beraq_ASCENDING_0.75,96,121,23,63327799.761946700,1473881222.1900000
Bene-Beraq_ASCENDING_0.75,97,126,23,64016082.10095140,1484551909.6380000
Bene-Beraq_ASCENDING_0.75,98,126,23,64661130.85597480,1495330092.0860000
Bene-Beraq_ASCENDING_0.75,99,136,23,65336546.63268850,1506220830.5020000
Bene-Beraq_ASCENDING_0.75,100,141,23,66045975.19332800,1517229793.0540000
Bene-Beraq_ASCENDING_0.75,101,145,23,66794572.40534840,1528363507.4460000
Bene-Beraq_ASCENDING_0.75,102,148,23,67437847.42551730,1539604421.2380000
Bene-Beraq_ASCENDING_0.75,103,147,26,68095060.04799570,1550954857.5660000
Bene-Beraq_ASCENDING_0.75,104,149,27,68614140.19529740,1562391796.4860000
Bene-Beraq_ASCENDING_0.75,105,153,29,69183089.08536080,1573923548.6460000
Bene-Beraq_ASCENDING_0.75,106,160,29,69725371.41546120,1585545669.9340000
Bene-Beraq_ASCENDING_0.75,107,172,29,70118316.97320240,1597233272.6860000
Bene-Beraq_ASCENDING_0.75,108,170,35,70606066.71819450,1609002156.0940000
Bene-Beraq_ASCENDING_0.75,109,172,38,71010569.19702540,1620838446.6700000
Bene-Beraq_ASCENDING_0.75,110,168,44,71421700.03249410,1632743249.702
Bene-Beraq_ASCENDING_0.75,111,168,44,63308347.09776950,1648572117.702
Bene-Beraq_ASCENDING_0.75,112,168,44,94858230.33222750,1664383011.702
Bene-Beraq_ASCENDING_0.75,113,168,44,94790820.80319340,1680182671.702
Bene-Beraq_ASCENDING_0.75,114,168,44,94714530.46503220,1695969617.702
Bene-Beraq_ASCENDING_0.75,115,168,44,94655341.61027050,1711746699.702
Bene-Beraq_ASCENDING_0.75,116,168,44,94597796.89036330,1727514191.702
Bene-Beraq_ASCENDING_0.75,117,168,44,94542556.44016510,1743272477.702
Bene-Beraq_ASCENDING_0.75,118,168,44,94497504.66423930,1759023255.702
Bene-Beraq_ASCENDING_0.75,119,168,44,94448180.61860450,1774765813.702
Bene-Beraq_ASCENDING_0.75,120,168,44,94401160.84267880,1790500535.702
Bene-Beraq_ASCENDING_0.75,121,168,44,94368278.1455889,1806229777.702
Bene-Beraq_ASCENDING_0.75,122,168,44,94368602.01073440,1821959073.702
Bene-Beraq_ASCENDING_0.75,123,168,44,94364329.74102540,1837687657.702
Bene-Beraq_ASCENDING_0.75,124,168,44,62905409.606170900,1853415803.702
Bene-Beraq_ASCENDING_0.75,125,168,44,94356769.20160750,1869143127.702
Bene-Beraq_ASCENDING_0.75,126,168,44,94357753.20160750,1884870615.702
Bene-Beraq_ASCENDING_0.75,127,168,44,31445936.6621895,1900597171.702
Bene-Beraq_ASCENDING_0.75,128,168,44,62911546.2804434,1916326851.702
Bene-Beraq_ASCENDING_0.75,129,168,44,31456023.224424800,1932058449.702
Bene-Beraq_ASCENDING_0.75,130,168,44,94421874.46093270,1947796623.702
Bene-Beraq_ASCENDING_0.75,131,168,44,94447196.61860450,1963539017.702
Bene-Beraq_ASCENDING_0.75,132,170,44,94440476.34889550,1979280291.702
Bene-Beraq_ASCENDING_0.75,133,170,44,94448697.023168,1995022935.702
Bene-Beraq_ASCENDING_0.75,134,170,44,31491824.3945303,2010772429.702
Bene-Beraq_ASCENDING_0.75,135,171,44,31499638.41734770,2026525829.702
Bene-Beraq_ASCENDING_0.75,136,172,44,63009135.09162010,2042279903.702
Bene-Beraq_ASCENDING_0.75,137,172,44,94543589.24929200,2058038361.702
Bene-Beraq_ASCENDING_0.75,138,172,44,94555098.19327350,2073798737.702
Bene-Beraq_ASCENDING_0.75,139,173,44,94563739.00240040,2089560553.702
Bene-Beraq_ASCENDING_0.75,140,174,44,94553310.32812800,2105320631.702
Bene-Beraq_ASCENDING_0.35,21,0,0,-28059724.002784900,28059724.310000000
Bene-Beraq_ASCENDING_0.35,22,0,0,112150930.6895680,56097456.910000000
